Name|Start_Year|End_Year|Latitude|Longitude|Info|Type|Category
Rome (Republic)|-509|27|41.8902|12.4922|Rising power in Italy|Place|City
Pataliputra (Sunga Capital)|-185|-73|25.611|85.1414|Imperial capital in Northern India|Place|City
Alexandria|-331|641|31.2001|29.9187|Center of science & culture|Place|City
Carthage|-814|-146|36.8529|10.3217|Phoenician trade superpower|Place|City
Rome (Empire Hub)|27|476|41.8902|12.4922|Capital of the vast Roman Empire|Place|City
Pompeii (Destroyed)|79|79|40.7512|14.487|Buried completely by Mt. Vesuvius|Place|City
Herculaneum (Destroyed)|79|79|40.806|14.349|Buried by pyroclastic flows|Place|City
Hopewell Core (Mound Builders)|-200|500|39.3|-82.9|Building massive geometric earthworks and continental trade routes|Culture|Archaeological Culture
Teotihuacán (Rising Metropolis)|-100|750|19.6|-98.8|Rapidly expanding urban grid and early pyramid construction|Place|City
Basketmaker II Culture|-500|500|36.5|-109.5|Transitioning to sedentary maize farming and master basket weaving|Culture|Archaeological Culture
Old Bering Sea Marine Hunters|-500|700|65.6|-168|Sophisticated walrus and whale hunters using carved ivory tools|Culture|Archaeological Culture
Adi Shankaracharya|788|820|10.8505|76.2711|Advaita Vedanta philosopher and teacher traditionally associated with Kaladi in Kerala; dates are approximate|Person|Saint
Ramanuja|1017|1137|13.3409|80.0707|Major Vaishnava philosopher and proponent of Vishishtadvaita Vedanta|Person|Saint
Basavanna|1131|1167|15.3697|75.1240|Kannada philosopher, poet and social reformer associated with the Lingayat tradition|Person|Saint
Dnyaneshwar|1275|1296|18.5204|73.8567|Marathi saint-poet and author of the Dnyaneshwari; associated with the Varkari tradition|Person|Saint
Namdev|1270|1350|18.5167|73.8500|Marathi saint-poet and important figure in the Varkari devotional tradition|Person|Saint
Kabir|1440|1518|25.3176|82.9739|Mystic poet whose teachings emphasized devotion and transcended religious divisions; dates are approximate|Person|Saint
Vallabhacharya|1479|1531|16.6950|74.2310|Philosopher and founder of the Pushtimarg tradition of Vaishnavism|Person|Saint
Chaitanya Mahaprabhu|1486|1534|23.6830|87.6855|Bengali Vaishnava saint and major proponent of devotional Krishna worship|Person|Saint
Tulsidas|1532|1623|25.3176|82.9739|Hindi devotional poet best known for the Ramcharitmanas; dates are traditional and debated|Person|Saint
Mirabai|1498|1546|26.9124|75.7873|Rajput devotional poet and major figure in the Krishna bhakti tradition; dates are approximate|Person|Saint
Eknath|1533|1599|19.9975|75.7685|Marathi saint-poet and scholar associated with the Varkari tradition|Person|Saint
Samarth Ramdas|1608|1681|17.9240|74.1200|Marathi saint-poet and spiritual teacher associated with the Ram and Hanuman traditions|Person|Saint
Tukaram|1608|1649|18.5295|73.8745|Marathi Varkari saint-poet renowned for his devotional abhangas dedicated to Vithoba|Person|Saint
Gautama Buddha|-563|-483|26.7271|85.9240|Founder of Buddhism; traditionally born at Lumbini and attained enlightenment at Bodh Gaya before teaching across northern India|Person|Saint
Mahavira|-599|-527|25.6093|85.1235|Twenty-fourth Tirthankara of Jainism and contemporary of the Buddha; dates are traditional and historically debated|Person|Saint
Kanakadasa|1509|1609|15.1629|76.9370|Kannada saint-poet and devotee associated with the Haridasa tradition and Krishna devotion; dates are approximate|Person|Saint
Purandara Dasa|1484|1564|15.3173|75.7139|Kannada saint-poet and major figure of the Haridasa tradition, traditionally regarded as the father of Carnatic music; dates are approximate|Person|Saint
Patanjali|-200|-150|11.0168|76.9558|Ancient Indian scholar traditionally associated with the Yoga Sutras; his historical identity and dates remain debated|Person|Philosopher
Raghavendra Swami|1595|1671|15.2750|77.3750|Madhva tradition saint and Dvaita Vedanta scholar whose Brindavana at Mantralayam became an important pilgrimage center|Person|Saint
Andal|750|800|8.7270|77.7289|Tamil Vaishnava saint-poet and one of the twelve Alvars, renowned for the Tiruppavai and Nachiyar Tirumoli; traditionally associated with Srivilliputhur|Person|Saint
Anga|-600|-400|25.2600|87.0000|Mahajanapada of eastern India; its capital was Champa and it was eventually incorporated into Magadha|Polity|Mahajanapada
Assaka|-600|-400|18.6700|81.0000|Southernmost of the traditional sixteen Mahajanapadas, located around the Godavari region; its capital was Potana or Paudanya|Polity|Mahajanapada
Avanti|-600|-320|23.1765|75.7885|Major western Indian Mahajanapada centered around Ujjain and Mahishmati; later incorporated into the expanding Magadhan empire|Polity|Mahajanapada
Chedi|-600|-400|24.0000|80.0000|Ancient Mahajanapada located in central India, associated with the Bundelkhand region|Polity|Mahajanapada
Gandhara|-600|-400|34.0000|72.0000|Northwestern Mahajanapada centered around Taxila and Pushkalavati; an important center of trade and learning|Polity|Mahajanapada
Kashi|-600|-400|25.3176|82.9739|Mahajanapada centered on Varanasi, one of the major political powers of northern India|Polity|Mahajanapada
Kosala|-600|-400|27.5100|82.0500|Major Mahajanapada of northern India centered in the Awadh region; its important cities included Shravasti and Saketa|Polity|Mahajanapada
Kuru|-600|-400|29.5000|76.9000|Ancient Mahajanapada in the western Ganges-Yamuna region associated with the later Vedic Kuru realm|Polity|Mahajanapada
Matsya|-600|-400|26.4500|76.0000|Mahajanapada located in the region of present-day Rajasthan, with Viratanagara as its principal center|Polity|Mahajanapada
Magadha|-600|-320|25.6100|85.1400|Powerful eastern Indian Mahajanapada centered in the lower Ganges region; it became the foundation of the Mauryan Empire|Polity|Mahajanapada
Malla|-600|-400|26.7600|83.8400|Republican Mahajanapada in the eastern Gangetic region; Kushinagar and Pava were important centers|Polity|Mahajanapada
Panchala|-600|-400|28.0000|79.0000|Mahajanapada in the Ganges-Yamuna region, divided into northern and southern Panchala|Polity|Mahajanapada
Surasena|-600|-400|27.5000|77.6700|Mahajanapada centered around Mathura and the Yamuna region|Polity|Mahajanapada
Vajji|-600|-400|26.1200|85.3900|Confederation of clans in northern Bihar, with the Licchavis as a prominent constituent; Vaishali was its major center|Polity|Mahajanapada
Vatsa|-600|-400|25.4500|81.8500|Mahajanapada centered at Kaushambi near the Yamuna; an important political and commercial power|Polity|Mahajanapada
Kamboja|-600|-400|35.0000|71.0000|Northwestern Mahajanapada associated with the region around the Hindu Kush and modern Afghanistan-Pakistan borderlands|Polity|Mahajanapada
Maurya Empire|-322|-185|25.6100|85.1400|First major empire to unify much of the Indian subcontinent; founded by Chandragupta Maurya and expanded greatly under Ashoka|Polity|Empire
Gupta Empire|320|550|25.6100|85.1400|Major ancient Indian empire associated with advances in mathematics, astronomy, literature, science, art, and Hindu cultural development; centered initially in the Gangetic plain|Polity|Empire
Indus Valley Civilization|-3300|-1300|30.9000|72.9000|Bronze Age civilization centered in the Indus River basin, known for urban planning, drainage systems, trade, and distinctive material culture|Civilization|Civilization
Achaemenid Empire|-550|-330|31.5204|74.3587|Persian imperial power that extended into northwestern India, particularly Gandhara and the Indus region, during the late 6th and 5th centuries BCE|Polity|Empire
Gandhara|-600|-200|34.0000|72.0000|Ancient region and kingdom centered in present-day northwestern Pakistan and eastern Afghanistan; an important center of trade, Buddhism, and Hellenistic culture|Geography|Region
Bimbisara|-543|-491|25.6100|85.1400|King of Magadha and an important early ruler who expanded Magadhan power during the lifetime of Siddhartha Gautama|Person|Ruler
Siddhartha Gautama|-563|-483|27.4848|83.2760|Historical founder of Buddhism, traditionally born at Lumbini and associated with enlightenment at Bodh Gaya and teaching at Sarnath|Person|Saint
Vardhamana Mahavira|-599|-527|25.6093|85.1235|Twenty-fourth Tirthankara of Jainism and contemporary of the Buddha; traditionally known as Mahavira|Person|Saint
Charaka|-200|-100|27.1767|78.0081|Ancient Indian physician traditionally associated with the Charaka Samhita, a foundational text of Ayurveda|Person|Scientist
Sushruta|-600|-500|25.3176|82.9739|Ancient Indian physician traditionally associated with the Sushruta Samhita and important early surgical knowledge|Person|Scientist
Vagbhata|550|650|20.5937|78.9629|Classical Ayurvedic physician traditionally associated with the Ashtanga Hridaya and Ashtanga Sangraha|Person|Scientist
Valmiki|-500|-100|27.1767|78.0081|Traditional author of the Ramayana and an important figure in Sanskrit literary tradition; historical dating is uncertain|Person|Literature
Ajatashatru|-492|-460|25.6100|85.1400|King of Magadha who expanded Magadhan power and is associated with conflicts involving Kosala and the Vajji confederacy|Person|Ruler
Chandragupta Maurya|-321|-297|25.6100|85.1400|Founder of the Maurya Empire who established a large empire centered on Pataliputra|Person|Ruler
Ashoka the Great|-268|-232|25.6100|85.1400|Mauryan emperor whose reign saw major territorial expansion followed by his promotion of Buddhism, ethical governance, and religious tolerance|Person|Ruler
Alexander the Great|-336|-323|34.0151|71.5249|Macedonian conqueror whose campaigns reached the northwestern Indian subcontinent in 326 BCE|Person|Ruler
